                     Output for Double precision
 ************************************************************************************
            nend           relerrdp          reldiffdp        sumupdp   sumdowndp
 ************************************************************************************
             10     0.0000000000D+00     0.0000000000D+00     0.2928968254D+01     0.2928968254D+01
            100     0.2188616515D-15     0.1776356839D-14     0.8116345772D+01     0.8116345772D+01
           1000     0.1138557696D-15     0.1776356839D-14     0.1560181663D+02     0.1560181663D+02
          10000     0.1119431103D-14     0.2842170943D-13     0.2538942267D+02     0.2538942267D+02
         100000     0.2066436746D-13     0.7744915820D-12     0.3747956880D+02     0.3747956880D+02
        1000000     0.1493073661D-13     0.7744915820D-12     0.5187229552D+02     0.5187229552D+02
       10000000     0.8683908329D-13     0.5954348126D-11     0.6856760689D+02     0.6856760689D+02
      100000000     0.6799878835D-13     0.5954348126D-11     0.8756550330D+02     0.8756550330D+02
     1000000000     0.5469429351D-13     0.5954348126D-11     0.1088659848D+03     0.1088659848D+03
     1410065408     0.3164256486D-12     0.4129674380D-10     0.1305101024D+03     0.1305101024D+03
