                     Output for single precision
 ***************************************************************
            nend  relerrsp   reldiffsp    sumupsp    sumdownsp
 ****************************************************************
             10 .000000D+00 .000000D+00 .292897D+01 .292897D+01
            100 .352501D-06 .286102D-05 .811635D+01 .811634D+01
           1000 .183378D-06 .286102D-05 .156018D+02 .156018D+02
          10000 .112686D-05 .286102D-04 .253895D+02 .253894D+02
         100000 .148398D-03 .556183D-02 .374846D+02 .374790D+02
        1000000 .108078D-03 .556564D-02 .515020D+02 .514964D+02
       10000000 .100912D-01 .661110D+00 .648527D+02 .655138D+02
      100000000 .838566D-02 .661110D+00 .781770D+02 .788381D+02
     1000000000 .717331D-02 .661110D+00 .915013D+02 .921624D+02
     1410065408 .626723D-02 .661110D+00 .104826D+03 .105487D+03
