 NB: Here we are finding the values of first 25l values of spherical bessel
      function (j(x)) for   x=0.1,1.0,10
 
 
 When x= 0.1
 *************************************************************************
 l          jup(x)                jdown(x)            error 
 *************************************************************************
  0         0.998334D+00         0.998334D+00         0.556038D-16
  1         0.333004D-01         0.333000D-01         0.528177D-05
  2         0.676744D-03         0.666191D-03         0.785819D-02
  3         0.536818D-03         0.951852D-05         0.965155D+00
  4         0.369005D-01         0.105772D-06         0.999994D+00
  5         0.332051D+01         0.961631D-09         0.100000D+01
  6         0.365219D+03         0.739754D-11         0.100000D+01
  7         0.474752D+05         0.493189D-13         0.100000D+01
  8         0.712091D+07         0.290120D-15         0.100000D+01
  9         0.121051D+10         0.152699D-17         0.100000D+01
 10         0.229989D+12         0.727151D-20         0.100000D+01
 11         0.482966D+14         0.316158D-22         0.100000D+01
 12         0.111080D+17         0.126465D-24         0.100000D+01
 13         0.277695D+19         0.468395D-27         0.100000D+01
 14         0.749764D+21         0.161517D-29         0.100000D+01
 15         0.217429D+24         0.521029D-32         0.100000D+01
 16         0.674022D+26         0.157889D-34         0.100000D+01
 17         0.222425D+29         0.451115D-37         0.100000D+01
 18         0.778481D+31         0.121924D-39         0.100000D+01
 19         0.288036D+34         0.312627D-42         0.100000D+01
 20         0.112333D+37         0.762510D-45         0.100000D+01
 21         0.460563D+39         0.177329D-47         0.100000D+01
 22         0.198041D+42         0.394066D-50         0.100000D+01
 23         0.891180D+44         0.838441D-53         0.100000D+01
 24         0.418853D+47         0.171111D-55         0.100000D+01
 25         0.205237D+50         0.335513D-58         0.100000D+01
 
 
 When x= 1.0
 *************************************************************************
 l          jup(x)                jdown(x)            error 
 *************************************************************************
  0         0.841471D+00         0.841471D+00         0.000000D+00
  1         0.301169D+00         0.301169D+00         0.187182D-07
  2         0.620351D-01         0.620350D-01         0.272620D-06
  3         0.900674D-02         0.900658D-02         0.876270D-05
  4         0.101209D-02         0.101102D-02         0.529431D-03
  5         0.102043D-03         0.925612D-04         0.487245D-01
  6         0.110388D-03         0.715694D-05         0.878226D+00
  7         0.133300D-02         0.479013D-06         0.999282D+00
  8         0.198846D-01         0.282650D-07         0.999997D+00
  9         0.336705D+00         0.149138D-08         0.100000D+01
 10         0.637751D+01         0.711655D-10         0.100000D+01
 11         0.133591D+03         0.309955D-11         0.100000D+01
 12         0.306622D+04         0.124166D-12         0.100000D+01
 13         0.765218D+05         0.460464D-14         0.100000D+01
 14         0.206302D+07         0.158958D-15         0.100000D+01
 15         0.597511D+08         0.513269D-17         0.100000D+01
 16         0.185022D+10         0.155671D-18         0.100000D+01
 17         0.609976D+11         0.445118D-20         0.100000D+01
 18         0.213306D+13         0.120386D-21         0.100000D+01
 19         0.788624D+14         0.308874D-23         0.100000D+01
 20         0.307350D+16         0.753780D-25         0.100000D+01
 21         0.125935D+18         0.175388D-26         0.100000D+01
 22         0.541212D+19         0.389936D-28         0.100000D+01
 23         0.243419D+21         0.830012D-30         0.100000D+01
 24         0.114353D+23         0.169458D-31         0.100000D+01
 25         0.560086D+24         0.332394D-33         0.100000D+01
 
 
 When x= 10.0
 *************************************************************************
 l          jup(x)                jdown(x)            error 
 *************************************************************************
  0        -0.544021D-01        -0.544021D-01         0.000000D+00
  1         0.784669D-01         0.784669D-01         0.481269D-07
  2         0.779422D-01         0.779422D-01         0.145353D-07
  3        -0.394958D-01        -0.394958D-01         0.812722D-07
  4        -0.105589D+00        -0.105589D+00         0.320094D-07
  5        -0.555345D-01        -0.555345D-01         0.302602D-08
  6         0.445013D-01         0.445013D-01         0.801034D-07
  7         0.113386D+00         0.113386D+00         0.393881D-07
  8         0.125578D+00         0.125578D+00         0.249598D-07
  9         0.100096D+00         0.100096D+00         0.861576D-08
 10         0.646052D-01         0.646052D-01         0.231533D-07
 11         0.355744D-01         0.355744D-01         0.112543D-06
 12         0.172160D-01         0.172160D-01         0.447987D-06
 13         0.746562D-02         0.746558D-02         0.204642D-05
 14         0.294115D-02         0.294108D-02         0.114029D-04
 15         0.106371D-02         0.106354D-02         0.770765D-04
 16         0.356345D-03         0.355904D-03         0.619452D-03
 17         0.112233D-03         0.110941D-03         0.578928D-02
 18         0.364693D-04         0.323885D-04         0.592648D-01
 19         0.227037D-04         0.889663D-05         0.436929D+00
 20         0.520752D-04         0.230837D-05         0.915108D+00
 21         0.190805D-03         0.567698D-06         0.994067D+00
 22         0.768385D-03         0.132728D-06         0.999655D+00
 23         0.326693D-02         0.295803D-07         0.999982D+00
 24         0.145862D-01         0.629890D-08         0.999999D+00
 25         0.682053D-01         0.128434D-08         0.100000D+01
