 DERIVATIVE VIA CENTRAL DIFFERENTIATION METHOD FOR DOUBLE PRECISION
 For x=30
 Taken analytical value: cos'(30) = 0.988032 (Wolfram alpha)
 
 ************************************************************************
           h            cos'(30)     error   -log10(h)   log10(error)
 *************************************************************************
     0.499999984       0.947375190      4.11    0         0.61
     0.049999998       0.987619996      0.04    1        -1.38
     0.005000000       0.988027507      0.00    2        -3.34
     0.000500000       0.988031583      0.00    3        -4.39
     0.000050000       0.988031624      0.00    4        -4.44
     0.000005000       0.988031624      0.00    5        -4.44
     0.000000500       0.988031625      0.00    6        -4.44
     0.000000050       0.988031597      0.00    7        -4.41
     0.000000005       0.988031738      0.00    8        -4.60
     0.000000000       0.988028246      0.00    9        -3.42
     0.000000000       0.988049118      0.00   10        -2.76
     0.000000000       0.987768232      0.03   11        -1.57
     0.000000000       0.989874880      0.19   12        -0.73
     0.000000000       0.982824964      0.53   13        -0.28
     0.000000000       0.702216085     28.93   14         1.46
     0.000000000       0.000000000    100.00   15         2.00
     0.000000000       0.000000000    100.00   16         2.00
     0.000000000       0.000000000    100.00   17         2.00
     0.000000000       0.000000000    100.00   18         2.00
     0.000000000       0.000000000    100.00   19         2.00
