 DERIVATIVE OF SQRT(X) VIA CENTRAL DIFFERENTIATION METHOD FOR DOUBLE PRECISION
 For x=30
 Taken analytical value: 1/(2*sqrt(30)) = 0.091287093 (Wolfram alpha)
 
 ************************************************************************
           h          1/(2*sqrt(30))     error   -log10(h)   log10(error)
 *************************************************************************
     0.999999968       0.091290263       0.00       0        -2.46
     0.099999997       0.091287125       0.00       1        -4.46
     0.010000000       0.091287093       0.00       2        -6.59
     0.001000000       0.091287093       0.00       3        -7.06
     0.000100000       0.091287093       0.00       4        -7.04
     0.000010000       0.091287093       0.00       5        -6.86
     0.000001000       0.091287093       0.00       6        -6.63
     0.000000100       0.091287087       0.00       7        -5.22
     0.000000010       0.091287159       0.00       8        -4.14
     0.000000001       0.091286981       0.00       9        -3.91
     0.000000000       0.091286981       0.00      10        -3.91
     0.000000000       0.091304744       0.02      11        -1.71
     0.000000000       0.091482380       0.21      12        -0.67
     0.000000000       0.088817845       2.70      13         0.43
     0.000000000       0.000000000     100.00      14         2.00
     0.000000000       0.000000000     100.00      15         2.00
     0.000000000       0.000000000     100.00      16         2.00
     0.000000000       0.000000000     100.00      17         2.00
     0.000000000       0.000000000     100.00      18         2.00
     0.000000000       0.000000000     100.00      19         2.00
