 DERIVATIVE VIA EXTRAPOLATED DIFFERENTIATION METHOD FOR DOUBLE PRECISION
 For x=30
 Taken analytical value: cos'(30) = 0.988032 (Wolfram alpha)
 
 ************************************************************************
           h            cos'(30)     error   -log10(h)   log10(error)
 *************************************************************************
     0.999999968       0.987903928      0.01    0        -1.89
     0.099999997       0.988031611      0.00    1        -4.42
     0.010000000       0.988031624      0.00    2        -4.44
     0.001000000       0.988031624      0.00    3        -4.44
     0.000100000       0.988031624      0.00    4        -4.44
     0.000010000       0.988031623      0.00    5        -4.44
     0.000001000       0.988031625      0.00    6        -4.44
     0.000000100       0.988031597      0.00    7        -4.41
     0.000000010       0.988030798      0.00    8        -3.92
     0.000000001       0.988037572      0.00    9        -3.25
     0.000000000       0.988049858      0.00   10        -2.74
     0.000000000       0.988704520      0.07   11        -1.17
     0.000000000       0.980549006      0.76   12        -0.12
     0.000000000       0.982454889      0.56   13        -0.25
     0.000000000       1.638504199     65.84   14         1.82
     0.000000000       0.000000000    100.00   15         2.00
     0.000000000       0.000000000    100.00   16         2.00
     0.000000000       0.000000000    100.00   17         2.00
     0.000000000       0.000000000    100.00   18         2.00
     0.000000000       0.000000000    100.00   19         2.00
