 DERIVATIVE OF SQRT(X) VIA EXTRAPOLATED DIFFERENTIATION METHOD FOR DOUBLE PRECISION
 For x=1
 Taken analytical value: 1/(2*sqrt(1)) = 0.5 (Wolfram alpha)
 
 ************************************************************************
           h          1/(2*sqrt(1))     error   -log10(h)   log10(error)
 *************************************************************************
     0.999999968       0.499476863       0.10       0        -0.98
     0.099999997       0.499999957       0.00       1        -5.07
     0.010000000       0.500000000       0.00       2        -9.07
     0.001000000       0.500000000       0.00       3       -10.91
     0.000100000       0.500000000       0.00       4       -10.01
     0.000010000       0.500000000       0.00       5        -8.95
     0.000001000       0.500000000       0.00       6        -7.21
     0.000000100       0.499999999       0.00       7        -6.76
     0.000000010       0.499999991       0.00       8        -5.73
     0.000000001       0.500000057       0.00       9        -4.94
     0.000000000       0.500000057       0.00      10        -4.94
     0.000000000       0.499970451       0.01      11        -2.23
     0.000000000       0.500044466       0.01      12        -2.05
     0.000000000       0.499970451       0.01      13        -2.23
     0.000000000       0.484797403       3.04      14         0.48
     0.000000000       0.111022306      77.80      15         1.89
     0.000000000       0.000000000     100.00      16         2.00
     0.000000000       0.000000000     100.00      17         2.00
     0.000000000       0.000000000     100.00      18         2.00
     0.000000000       0.000000000     100.00      19         2.00
