 DERIVATIVE VIA FORWARD DIFFERENTIATION METHOD FOR SINGLE PRECISION
 For x=0.1
 Taken analytical value: cos'(0.1) = -0.099983341 (Wolfram alpha)
 
 ************************************************************************
           h            cos'(.1)     error   -log10(h)   log10(error)
 *************************************************************************
     0.999999968      -0.541408033       441.50      0       2.64
     0.099999997      -0.149375873        49.40      1       1.69
     0.010000000      -0.104806732         4.82      2       0.68
     0.001000000      -0.100330902         0.35      3      -0.46
     0.000100000      -0.099883167         0.10      4      -1.00
     0.000010000      -0.099838392         0.14      5      -0.84
     0.000001000      -0.099833914         0.15      6      -0.83
     0.000000100      -0.099833467         0.15      7      -0.82
     0.000000010      -0.099833422         0.15      8      -0.82
     0.000000001      -0.099833478         0.15      9      -0.82
     0.000000000      -0.099833478         0.15     10      -0.82
     0.000000000      -0.099842360         0.14     11      -0.85
     0.000000000      -0.099920075         0.06     12      -1.20
     0.000000000      -0.099920075         0.06     13      -1.20
     0.000000000      -0.099920075         0.06     14      -1.20
     0.000000000      -0.111022306        11.04     15       1.04
     0.000000000      -1.110223060      1010.41     16       3.00
     0.000000000     -11.102230599     11004.08     17       4.04
     0.000000000       0.000000000       100.00     18       2.00
     0.000000000       0.000000000       100.00     19       2.00
