 DERIVATIVE VIA FORWARD DIFFERENTIATION METHOD FOR DOUBLE PRECISION
 For x=30
 Taken analytical value: cos'(30) = 0.988032 (Wolfram alpha)
 
 ************************************************************************
           h            cos'(30)     error   -log10(h)   log10(error)
 *************************************************************************
     0.999999968       0.760490919     23.03    0         1.36
     0.099999997       0.978679581      0.95    1        -0.02
     0.010000000       0.987243906      0.08    2        -1.10
     0.001000000       0.987954334      0.01    3        -2.10
     0.000100000       0.988023910      0.00    4        -3.09
     0.000010000       0.988030853      0.00    5        -3.94
     0.000001000       0.988031548      0.00    6        -4.36
     0.000000100       0.988031624      0.00    7        -4.44
     0.000000010       0.988031738      0.00    8        -4.60
     0.000000001       0.988031743      0.00    9        -4.61
     0.000000000       0.988014146      0.00   10        -2.74
     0.000000000       0.988120728      0.01   11        -2.05
     0.000000000       0.986377678      0.17   12        -0.78
     0.000000000       0.982824964      0.53   13        -0.28
     0.000000000       1.054711907      6.75   14         0.83
     0.000000000       0.000000000    100.00   15         2.00
     0.000000000       0.000000000    100.00   16         2.00
     0.000000000       0.000000000    100.00   17         2.00
     0.000000000       0.000000000    100.00   18         2.00
     0.000000000       0.000000000    100.00   19         2.00
