 DERIVATIVE OF SQRT(X) VIA FORWARD DIFFERENTIATION METHOD FOR DOUBLE PRECISION
 For x=0.1
 Taken analytical value: 1/(2*sqrt(.1)) = 1.581138830 (Wolfram alpha)
 
 ************************************************************************
           h          1/(2*sqrt(.1))     error   -log10(h)   log10(error)
 *************************************************************************
     0.999999968       0.732581090      53.67       0         1.73
     0.099999997       1.309858301      17.16       1         1.23
     0.010000000       1.543471303       2.38       2         0.38
     0.001000000       1.577205625       0.25       3        -0.60
     0.000100000       1.580743743       0.02       4        -1.60
     0.000010000       1.581099304       0.00       5        -2.60
     0.000001000       1.581134877       0.00       6        -3.60
     0.000000100       1.581138435       0.00       7        -4.58
     0.000000010       1.581138792       0.00       8        -5.44
     0.000000001       1.581138826       0.00       9        -5.83
     0.000000000       1.581138604       0.00      10        -4.81
     0.000000000       1.581140824       0.00      11        -3.90
     0.000000000       1.581124171       0.00      12        -3.03
     0.000000000       1.580957637       0.01      13        -1.94
     0.000000000       1.582067860       0.06      14        -1.23
     0.000000000       1.554312284       1.70      15         0.23
     0.000000000       1.665334590       5.33      16         0.73
     0.000000000       0.000000000     100.00      17         2.00
     0.000000000       0.000000000     100.00      18         2.00
     0.000000000       0.000000000     100.00      19         2.00
