 DERIVATIVE OF SQRT(X) VIA FORWARD DIFFERENTIATION METHOD FOR SINGLE PRECISION
 For x=30
 Taken analytical value: 1/(2*sqrt(30)) = 0.091287093 (Wolfram alpha)
 
 ************************************************************************
           h          1/(2*sqrt(30))     error   -log10(h)   log10(error)
 *************************************************************************
     1.000000017       0.090538788       0.82       0        -0.09
     0.100000002       0.091211147       0.08       0        -1.08
     0.010000000       0.091279487       0.01       1        -2.08
     0.001000000       0.091286332       0.00       2        -3.08
     0.000100000       0.091287017       0.00       3        -4.09
     0.000010000       0.091287085       0.00       4        -5.18
     0.000001000       0.091287092       0.00       5        -6.24
     0.000000100       0.091287092       0.00       6        -6.24
     0.000000010       0.091287065       0.00       7        -4.54
     0.000000001       0.091286976       0.00       8        -3.90
     0.000000000       0.091286976       0.00       9        -3.90
     0.000000000       0.091304740       0.02      10        -1.71
     0.000000000       0.091482376       0.21      11        -0.67
     0.000000000       0.088817840       2.70      12         0.43
     0.000000000       0.088817840       2.70      13         0.43
     0.000000000       0.000000000     100.00      14         2.00
