 SECOND ORDER DERIVATIVE FOR SINGLE PRECISION USING FIVE POINT FORMULA
 For x=1
 Taken analytical value: cos''(1) = -0.540302 (Wolfram alpha)
 
 ************************************************************************
           h            cos''(1)     error   -log10(h)   log10(error)
 *************************************************************************
     0.314159274        -0.540243804             0.01    0        -1.97
     0.267035395        -0.540268600             0.01    0        -2.21
     0.226980090        -0.540286303             0.00    0        -2.54
     0.192933083        -0.540288210             0.00    0        -2.59
     0.163993120        -0.540292919             0.00    0        -2.78
     0.139394149        -0.540305197             0.00    0        -3.22
     0.118485034        -0.540295541             0.00    0        -2.92
     0.100712284        -0.540273190             0.01    0        -2.27
     0.085605443        -0.540259480             0.01    1        -2.10
     0.072764628        -0.540266931             0.01    1        -2.19
     0.061849937        -0.540273786             0.01    1        -2.28
     0.052572448        -0.540292799             0.00    1        -2.77
     0.044686582        -0.540222168             0.01    1        -1.83
     0.037983596        -0.540265381             0.01    1        -2.17
     0.032286059        -0.540243924             0.01    1        -1.97
     0.027443152        -0.540071368             0.04    1        -1.37
     0.023326680        -0.540107131             0.04    1        -1.44
     0.019827679        -0.540550768             0.05    1        -1.34
     0.016853528        -0.540560424             0.05    1        -1.32
     0.014325500        -0.539836287             0.09    1        -1.06
     0.012176675        -0.539211810             0.20    1        -0.70
     0.010350174        -0.541559756             0.23    1        -0.63
     0.008797648        -0.538042903             0.42    2        -0.38
     0.007478002        -0.537204385             0.57    2        -0.24
     0.006356301        -0.538964868             0.25    2        -0.61
     0.005402856        -0.539060175             0.23    2        -0.64
     0.004592428        -0.542621076             0.43    2        -0.37
     0.003903564        -0.531981409             1.54    2         0.19
     0.003318029        -0.534183025             1.13    2         0.05
     0.002820325        -0.539528370             0.14    2        -0.84
     0.002397276        -0.553149581             2.38    2         0.38
     0.002037685        -0.535923421             0.81    2        -0.09
     0.001732032        -0.529830337             1.94    2         0.29
     0.001472228        -0.586663306             8.58    2         0.93
     0.001251393        -0.405995369            24.86    2         1.40
     0.001063684        -0.561931312             4.00    2         0.60
     0.000904132        -0.388879776            28.03    3         1.45
     0.000768512        -0.538241863             0.38    3        -0.42
     0.000653235        -0.372485727            31.06    3         1.49
     0.000555250        -0.515551150             4.58    3         0.66
     0.000471962         0.713565528           232.07    3         2.37
     0.000401168         0.000000000           100.00    3         2.00
     0.000340993         0.000000000           100.00    3         2.00
     0.000289844         0.000000000           100.00    3         2.00
     0.000246367         0.000000000           100.00    3         2.00
     0.000209412         0.000000000           100.00    3         2.00
     0.000178000         0.000000000           100.00    3         2.00
     0.000151300        -6.943344593          1185.09    3         3.07
     0.000128605         0.000000000           100.00    3         2.00
     0.000109315         0.000000000           100.00    3         2.00
     0.000092917         0.000000000           100.00    4         2.00
     0.000078980         0.000000000           100.00    4         2.00
     0.000067133         0.000000000           100.00    4         2.00
     0.000057063         0.000000000           100.00    4         2.00
     0.000048503         0.000000000           100.00    4         2.00
     0.000041228         0.000000000           100.00    4         2.00
     0.000035044         0.000000000           100.00    4         2.00
     0.000029787         0.000000000           100.00    4         2.00
     0.000025319       247.943145752         45989.73    4         4.66
     0.000021521         0.000000000           100.00    4         2.00
     0.000018293       474.981170654         88010.31    4         4.94
     0.000015549       657.413391113        121775.17    4         5.09
     0.000013217         0.000000000           100.00    4         2.00
     0.000011234         0.000000000           100.00    4         2.00
     0.000009549         0.000000000           100.00    5         2.00
     0.000008117         0.000000000           100.00    5         2.00
     0.000006899         0.000000000           100.00    5         2.00
     0.000005864         0.000000000           100.00    5         2.00
     0.000004985         0.000000000           100.00    5         2.00
     0.000004237         0.000000000           100.00    5         2.00
     0.000003601         0.000000000           100.00    5         2.00
     0.000003061         0.000000000           100.00    5         2.00
     0.000002602         0.000000000           100.00    5         2.00
     0.000002212         0.000000000           100.00    5         2.00
     0.000001880         0.000000000           100.00    5         2.00
     0.000001598     62245.550781250      11520611.00    5         7.06
     0.000001358     86153.015625000      15945445.00    5         7.20
     0.000001155         0.000000000           100.00    5         2.00
     0.000000981         0.000000000           100.00    6         2.00
     0.000000834         0.000000000           100.00    6         2.00
     0.000000709         0.000000000           100.00    6         2.00
     0.000000603         0.000000000           100.00    6         2.00
     0.000000512    605680.000000000     112100376.00    6         8.05
     0.000000435         0.000000000           100.00    6         2.00
     0.000000370         0.000000000           100.00    6         2.00
     0.000000315         0.000000000           100.00    6         2.00
     0.000000267         0.000000000           100.00    6         2.00
     0.000000227         0.000000000           100.00    6         2.00
     0.000000193         0.000000000           100.00    6         2.00
     0.000000164   5893564.000000000    1090790784.00    6         9.04
     0.000000140         0.000000000           100.00    6         2.00
     0.000000119         0.000000000           100.00    6         2.00
     0.000000101         0.000000000           100.00    6         2.00
     0.000000086         0.000000000           100.00    7         2.00
     0.000000073         0.000000000           100.00    7         2.00
     0.000000062         0.000000000           100.00    7         2.00
     0.000000053         0.000000000           100.00    7         2.00
     0.000000045         0.000000000           100.00    7         2.00
     0.000000038         0.000000000           100.00    7         2.00
     0.000000032         0.000000000           100.00    7         2.00
