 SECOND ORDER DERIVATIVE FOR SINGLE PRECISION VIA FIVE POINT FORMULA
 For x=30
 Taken analytical value: cos''(30) = -0.154251 (Wolfram alpha)
 
 ************************************************************************
           h            cos''(30)     error   -log10(h)   log10(error)
 *************************************************************************
     0.314159274      -0.154235050         0.01    0        -1.99
     0.267035395      -0.154241607         0.01    0        -2.22
     0.226980090      -0.154247195         0.00    0        -2.61
     0.192933083      -0.154246822         0.00    0        -2.57
     0.163993120      -0.154251620         0.00    0        -3.39
     0.139394149      -0.154252544         0.00    0        -3.00
     0.118485034      -0.154247642         0.00    0        -2.66
     0.100712284      -0.154249027         0.00    0        -2.89
     0.085605443      -0.154254496         0.00    1        -2.64
     0.072764628      -0.154249400         0.00    1        -2.99
     0.061849937      -0.154254124         0.00    1        -2.69
     0.052572448      -0.154252306         0.00    1        -3.07
     0.044686582      -0.154258221         0.00    1        -2.33
     0.037983596      -0.154263169         0.01    1        -2.10
     0.032286059      -0.154235601         0.01    1        -2.00
     0.027443152      -0.154223189         0.02    1        -1.74
     0.023326680      -0.154305890         0.04    1        -1.45
     0.019827679      -0.154240936         0.01    1        -2.19
     0.016853528      -0.154166043         0.06    1        -1.26
     0.014325500      -0.154321924         0.05    1        -1.34
     0.012176675      -0.154366806         0.08    1        -1.12
     0.010350174      -0.153936505         0.20    1        -0.69
     0.008797648      -0.154533312         0.18    2        -0.74
     0.007478002      -0.154197544         0.03    2        -1.46
     0.006356301      -0.154411465         0.10    2        -0.98
     0.005402856      -0.155183986         0.60    2        -0.22
     0.004592428      -0.154496267         0.16    2        -0.80
     0.003903564      -0.156465128         1.44    2         0.16
     0.003318029      -0.151592478         1.72    2         0.24
     0.002820325      -0.154864624         0.40    2        -0.40
     0.002397276      -0.152116135         1.38    2         0.14
     0.002037685      -0.153120965         0.73    2        -0.14
     0.001732032      -0.158949107         3.05    2         0.48
     0.001472228      -0.146665826         4.92    2         0.69
     0.001251393      -0.177622974        15.15    2         1.18
     0.001063684      -0.140482828         8.93    2         0.95
     0.000904132      -0.194439888        26.05    3         1.42
     0.000768512      -0.201840714        30.85    3         1.49
     0.000653235      -0.186242864        20.74    3         1.32
     0.000555250      -0.128887787        16.44    3         1.22
     0.000471962      -0.178391382        15.65    3         1.19
     0.000401168      -0.246908486        60.07    3         1.78
     0.000340993      -0.341741771       121.55    3         2.08
     0.000289844       0.000000000       100.00    3         2.00
     0.000246367       0.654669762       524.42    3         2.72
     0.000209412       0.906117380       687.43    3         2.84
     0.000178000       0.000000000       100.00    3         2.00
     0.000151300       0.000000000       100.00    3         2.00
     0.000128605       2.402540922      1657.55    3         3.22
     0.000109315       3.325315952      2255.78    3         3.35
     0.000092917       4.602512836      3083.78    4         3.49
     0.000078980       0.000000000       100.00    4         2.00
     0.000067133       8.816967964      5815.99    4         3.76
     0.000057063       0.000000000       100.00    4         2.00
     0.000048503      16.890541077     11050.04    4         4.04
     0.000041228       0.000000000       100.00    4         2.00
     0.000035044      32.356967926     21076.83    4         4.32
     0.000029787      44.784732819     29133.68    4         4.46
     0.000025319      61.985786438     40285.02    4         4.61
     0.000021521       0.000000000       100.00    4         2.00
     0.000018293       0.000000000       100.00    4         2.00
     0.000015549       0.000000000       100.00    4         2.00
     0.000013217     227.478668213    147573.06    4         5.17
     0.000011234     314.849334717    204214.94    4         5.31
     0.000009549     435.777648926    282612.03    5         5.45
     0.000008117     603.152404785    391120.09    5         5.59
     0.000006899     834.812927246    541304.25    5         5.73
     0.000005864    1155.450317383    749171.56    5         5.87
     0.000004985       0.000000000       100.00    5         2.00
     0.000004237       0.000000000       100.00    5         2.00
     0.000003601       0.000000000       100.00    5         2.00
     0.000003061       0.000000000       100.00    5         2.00
     0.000002602       0.000000000       100.00    5         2.00
     0.000002212       0.000000000       100.00    5         2.00
     0.000001880       0.000000000       100.00    5         2.00
     0.000001598       0.000000000       100.00    5         2.00
     0.000001358       0.000000000       100.00    5         2.00
     0.000001155       0.000000000       100.00    5         2.00
     0.000000981       0.000000000       100.00    6         2.00
     0.000000834       0.000000000       100.00    6         2.00
     0.000000709       0.000000000       100.00    6         2.00
     0.000000603       0.000000000       100.00    6         2.00
     0.000000512       0.000000000       100.00    6         2.00
     0.000000435       0.000000000       100.00    6         2.00
     0.000000370       0.000000000       100.00    6         2.00
     0.000000315       0.000000000       100.00    6         2.00
     0.000000267       0.000000000       100.00    6         2.00
     0.000000227       0.000000000       100.00    6         2.00
     0.000000193       0.000000000       100.00    6         2.00
     0.000000164       0.000000000       100.00    6         2.00
     0.000000140       0.000000000       100.00    6         2.00
     0.000000119       0.000000000       100.00    6         2.00
     0.000000101       0.000000000       100.00    6         2.00
     0.000000086       0.000000000       100.00    7         2.00
     0.000000073       0.000000000       100.00    7         2.00
     0.000000062       0.000000000       100.00    7         2.00
     0.000000053       0.000000000       100.00    7         2.00
     0.000000045       0.000000000       100.00    7         2.00
     0.000000038       0.000000000       100.00    7         2.00
     0.000000032       0.000000000       100.00    7         2.00
