 SECOND ORDER DERIVATIVE FOR SINGLE PRECISION VIA THREE POINT FORMULA
 For x=0.1
 Taken analytical value: cos''(0.1) =- 0.995004 (Wolfram alpha)
 
 ***********************************************************************
           h            cos''(1)     error   -log10(h)   log10(error)
 ************************************************************************
     0.314159274      -0.986848831      0.82    0      -0.09
     0.282743335      -0.988393784      0.66    0      -0.18
     0.254469007      -0.989646912      0.54    0      -0.27
     0.229022101      -0.990661621      0.44    0      -0.36
     0.206119880      -0.991489410      0.35    0      -0.45
     0.185507894      -0.992153168      0.29    0      -0.54
     0.166957095      -0.992691040      0.23    0      -0.63
     0.150261387      -0.993141174      0.19    0      -0.73
     0.135235250      -0.993492126      0.15    0      -0.82
     0.121711724      -0.993789673      0.12    0      -0.91
     0.109540552      -0.994018555      0.10    0      -1.00
     0.098586492      -0.994186401      0.08    1      -1.09
     0.088727839      -0.994354248      0.07    1      -1.19
     0.079855055      -0.994506836      0.05    1      -1.30
     0.071869545      -0.994567871      0.04    1      -1.36
     0.064682588      -0.994659424      0.03    1      -1.46
     0.058214329      -0.994689941      0.03    1      -1.50
     0.052392896      -0.994812012      0.02    1      -1.71
     0.047153607      -0.994873047      0.01    1      -1.88
     0.042438246      -0.994873047      0.01    1      -1.88
     0.038194422      -0.994995117      0.00    1      -3.05
     0.034374978      -0.994995117      0.00    1      -3.05
     0.030937480      -0.994873047      0.01    1      -1.88
     0.027843731      -0.994873047      0.01    1      -1.88
     0.025059357      -0.995117188      0.01    1      -1.94
     0.022553422      -0.995117188      0.01    1      -1.94
     0.020298079      -0.995117188      0.01    1      -1.94
     0.018268270      -0.995117188      0.01    1      -1.94
     0.016441442      -0.994628906      0.04    1      -1.42
     0.014797297      -0.995117188      0.01    1      -1.94
     0.013317567      -0.994140625      0.09    1      -1.06
     0.011985810      -0.995117188      0.01    1      -1.94
     0.010787229      -0.996093750      0.11    1      -0.96
     0.009708506      -0.994140625      0.09    2      -1.06
     0.008737655      -0.996093750      0.11    2      -0.96
     0.007863889      -0.996093750      0.11    2      -0.96
     0.007077500      -0.996093750      0.11    2      -0.96
     0.006369750      -0.996093750      0.11    2      -0.96
     0.005732775      -0.992187500      0.28    2      -0.55
     0.005159497      -1.000000000      0.50    2      -0.30
     0.004643547      -1.000000000      0.50    2      -0.30
     0.004179193      -0.992187500      0.28    2      -0.55
     0.003761273      -0.984375000      1.07    2       0.03
     0.003385146      -1.000000000      0.50    2      -0.30
     0.003046631      -1.000000000      0.50    2      -0.30
     0.002741968      -1.000000000      0.50    2      -0.30
     0.002467771      -1.000000000      0.50    2      -0.30
     0.002220994      -1.000000000      0.50    2      -0.30
     0.001998894      -1.000000000      0.50    2      -0.30
     0.001799005      -1.000000000      0.50    2      -0.30
     0.001619104      -1.000000000      0.50    2      -0.30
     0.001457194      -1.062500000      6.78    2       0.83
     0.001311474      -0.875000000     12.06    2       1.08
     0.001180327      -1.000000000      0.50    2      -0.30
     0.001062294      -1.125000000     13.06    2       1.12
     0.000956065      -1.000000000      0.50    3      -0.30
     0.000860458      -1.000000000      0.50    3      -0.30
     0.000774413      -1.000000000      0.50    3      -0.30
     0.000696971      -1.000000000      0.50    3      -0.30
     0.000627274      -1.000000000      0.50    3      -0.30
     0.000564547      -0.500000000     49.75    3       1.70
     0.000508092      -1.000000000      0.50    3      -0.30
     0.000457283      -1.000000000      0.50    3      -0.30
     0.000411555      -1.000000000      0.50    3      -0.30
     0.000370399      -2.000000000    101.00    3       2.00
     0.000333359       0.000000000    100.00    3       2.00
     0.000300023       0.000000000    100.00    3       2.00
     0.000270021      -2.000000000    101.00    3       2.00
     0.000243019      -4.000000000    302.01    3       2.48
     0.000218717       0.000000000    100.00    3       2.00
     0.000196845       0.000000000    100.00    3       2.00
     0.000177161       0.000000000    100.00    3       2.00
     0.000159445       0.000000000    100.00    3       2.00
     0.000143500       0.000000000    100.00    3       2.00
     0.000129150       0.000000000    100.00    3       2.00
     0.000116235       0.000000000    100.00    3       2.00
     0.000104612       0.000000000    100.00    3       2.00
     0.000094150       0.000000000    100.00    4       2.00
     0.000084735       0.000000000    100.00    4       2.00
     0.000076262       0.000000000    100.00    4       2.00
     0.000068636       0.000000000    100.00    4       2.00
     0.000061772       0.000000000    100.00    4       2.00
     0.000055595       0.000000000    100.00    4       2.00
     0.000050035       0.000000000    100.00    4       2.00
     0.000045032       0.000000000    100.00    4       2.00
     0.000040529       0.000000000    100.00    4       2.00
     0.000036476       0.000000000    100.00    4       2.00
     0.000032828       0.000000000    100.00    4       2.00
     0.000029545       0.000000000    100.00    4       2.00
     0.000026591       0.000000000    100.00    4       2.00
     0.000023932       0.000000000    100.00    4       2.00
     0.000021539       0.000000000    100.00    4       2.00
     0.000019385       0.000000000    100.00    4       2.00
     0.000017446       0.000000000    100.00    4       2.00
     0.000015702       0.000000000    100.00    4       2.00
     0.000014131       0.000000000    100.00    4       2.00
     0.000012718       0.000000000    100.00    4       2.00
     0.000011446       0.000000000    100.00    4       2.00
     0.000010302       0.000000000    100.00    4       2.00
     0.000009272       0.000000000    100.00    5       2.00
