 SECOND ORDER DERIVATIVE FOR SINGLE PRECISION
 For x=30
 Taken analytical value: cos''(30) = -0.154251 (Wolfram alpha)
 
 ************************************************************************
           h            cos''(30)     error   -log10(h)   log10(error)
 *************************************************************************
     0.314159274      -0.152987242        0.819283247    0        -0.09
     0.267035395      -0.153336525        0.592845023    0        -0.23
     0.226980090      -0.153591156        0.427769274    0        -0.37
     0.192933083      -0.153772354        0.310299605    0        -0.51
     0.163993120      -0.153907776        0.222506464    0        -0.65
     0.139394149      -0.154005051        0.159443811    0        -0.80
     0.118485034      -0.154069901        0.117402032    0        -0.93
     0.100712284      -0.154119492        0.085252449    0        -1.07
     0.085605443      -0.154163361        0.056812424    1        -1.25
     0.072764628      -0.154186249        0.041974150    1        -1.38
     0.061849937      -0.154205322        0.029608924    1        -1.53
     0.052572448      -0.154212952        0.024662834    1        -1.61
     0.044686582      -0.154235840        0.009824560    1        -2.01
     0.037983596      -0.154235840        0.009824560    1        -2.01
     0.032286059      -0.154235840        0.009824560    1        -2.01
     0.027443152      -0.154266357        0.009959805    1        -2.00
     0.023326680      -0.154296875        0.029744167    1        -1.53
     0.019827679      -0.154235840        0.009824560    1        -2.01
     0.016853528      -0.154174805        0.049393285    1        -1.31
     0.014325500      -0.154418945        0.108881623    1        -0.96
     0.012176675      -0.154296875        0.029744167    1        -1.53
     0.010350174      -0.154296875        0.029744167    1        -1.53
     0.008797648      -0.154785156        0.346293986    2        -0.46
     0.007478002      -0.154296875        0.029744167    2        -1.53
     0.006356301      -0.154785156        0.346293986    2        -0.46
     0.005402856      -0.154296875        0.029744167    2        -1.53
     0.004592428      -0.155273438        0.662843823    2        -0.18
     0.003903564      -0.156250000        1.295943499    2         0.11
     0.003318029      -0.154296875        0.029744167    2        -1.53
     0.002820325      -0.156250000        1.295943499    2         0.11
     0.002397276      -0.152343750        1.236455202    2         0.09
     0.002037685      -0.156250000        1.295943499    2         0.11
     0.001732032      -0.164062500        6.360741138    2         0.80
     0.001472228      -0.171875000       11.425538063    2         1.06
     0.001251393      -0.171875000       11.425538063    2         1.06
     0.001063684      -0.187500000       21.555131912    2         1.33
     0.000904132      -0.187500000       21.555131912    3         1.33
     0.000768512      -0.218750000       41.814319611    3         1.62
     0.000653235      -0.187500000       21.555131912    3         1.33
     0.000555250      -0.187500000       21.555131912    3         1.33
     0.000471962      -0.250000000       62.073509216    3         1.79
     0.000401168      -0.375000000      143.110260010    3         2.16
     0.000340993      -0.250000000       62.073509216    3         1.79
     0.000289844      -0.250000000       62.073509216    3         1.79
     0.000246367       0.000000000      100.000000000    3         2.00
     0.000209412       0.000000000      100.000000000    3         2.00
     0.000178000       0.000000000      100.000000000    3         2.00
     0.000151300      -1.000000000      548.294067383    3         2.74
     0.000128605       0.000000000      100.000000000    3         2.00
     0.000109315       0.000000000      100.000000000    3         2.00
     0.000092917       0.000000000      100.000000000    4         2.00
     0.000078980       0.000000000      100.000000000    4         2.00
     0.000067133       0.000000000      100.000000000    4         2.00
     0.000057063       0.000000000      100.000000000    4         2.00
     0.000048503       0.000000000      100.000000000    4         2.00
     0.000041228       0.000000000      100.000000000    4         2.00
     0.000035044       0.000000000      100.000000000    4         2.00
     0.000029787       0.000000000      100.000000000    4         2.00
     0.000025319       0.000000000      100.000000000    4         2.00
     0.000021521       0.000000000      100.000000000    4         2.00
     0.000018293       0.000000000      100.000000000    4         2.00
     0.000015549       0.000000000      100.000000000    4         2.00
     0.000013217       0.000000000      100.000000000    4         2.00
     0.000011234       0.000000000      100.000000000    4         2.00
     0.000009549       0.000000000      100.000000000    5         2.00
     0.000008117       0.000000000      100.000000000    5         2.00
     0.000006899       0.000000000      100.000000000    5         2.00
     0.000005864       0.000000000      100.000000000    5         2.00
     0.000004985       0.000000000      100.000000000    5         2.00
     0.000004237       0.000000000      100.000000000    5         2.00
     0.000003601       0.000000000      100.000000000    5         2.00
     0.000003061       0.000000000      100.000000000    5         2.00
     0.000002602       0.000000000      100.000000000    5         2.00
     0.000002212       0.000000000      100.000000000    5         2.00
     0.000001880       0.000000000      100.000000000    5         2.00
     0.000001598       0.000000000      100.000000000    5         2.00
     0.000001358       0.000000000      100.000000000    5         2.00
     0.000001155       0.000000000      100.000000000    5         2.00
     0.000000981       0.000000000      100.000000000    6         2.00
     0.000000834       0.000000000      100.000000000    6         2.00
     0.000000709       0.000000000      100.000000000    6         2.00
     0.000000603       0.000000000      100.000000000    6         2.00
     0.000000512       0.000000000      100.000000000    6         2.00
     0.000000435       0.000000000      100.000000000    6         2.00
     0.000000370       0.000000000      100.000000000    6         2.00
     0.000000315       0.000000000      100.000000000    6         2.00
     0.000000267       0.000000000      100.000000000    6         2.00
     0.000000227       0.000000000      100.000000000    6         2.00
     0.000000193       0.000000000      100.000000000    6         2.00
     0.000000164       0.000000000      100.000000000    6         2.00
     0.000000140       0.000000000      100.000000000    6         2.00
     0.000000119       0.000000000      100.000000000    6         2.00
     0.000000101       0.000000000      100.000000000    6         2.00
     0.000000086       0.000000000      100.000000000    7         2.00
     0.000000073       0.000000000      100.000000000    7         2.00
     0.000000062       0.000000000      100.000000000    7         2.00
     0.000000053       0.000000000      100.000000000    7         2.00
     0.000000045       0.000000000      100.000000000    7         2.00
     0.000000038       0.000000000      100.000000000    7         2.00
     0.000000032       0.000000000      100.000000000    7         2.00
