 ********************************************************************
 delt         exact      numerical     diff        newdelt     newdiff
 ********************************************************************
  0.100000    0.041870    0.043999    0.002129    0.050000    0.000542
  0.050000    0.021458    0.021999    0.000542    0.025000    0.000137
  0.025000    0.010862    0.011000    0.000137    0.012500    0.000035
  0.012500    0.005465    0.005500    0.000035    0.006250    0.000009
  0.006250    0.002741    0.002750    0.000009    0.003125    0.000004
  0.003125    0.001371    0.001375    0.000004    0.001563    0.000001
  0.001563    0.000687    0.000687    0.000001    0.000781    0.000000
  0.000781    0.000343    0.000344    0.000000    0.000391    0.000000
  0.000391    0.000172    0.000172    0.000000    0.000195    0.000000
  0.000195    0.000086    0.000086    0.000000    0.000098    0.000001
