 #*******************************************************************************************
 #N     h                       T-Rule.              S-Rule            G-Quad           Error_trap                  Error_simp         Error_gau
 #*******************************************************************************************
     10   0.2000        3.13492611381098962      3.14159077618237559      3.14159254044651348      0.00212202564852651      0.00000059772791425      0.00000003614519740
     20   0.1000        3.13992598890715868      3.14159261393921563      3.14159265358976825      0.00053051597593958      0.00000001275174374      0.00000000013058085
     30   0.0667        3.14085191302324063      3.14159265010656075      3.14159265358976558      0.00023578517597319      0.00000000123932024      0.00000000013058170
     40   0.0500        3.14117598695412958      3.14159265296978374      3.14159265358977358      0.00013262923993026      0.00000000032792805      0.00000000013057916
     50   0.0400        3.14132598693125376      3.14159265342725558      3.14159265358971762      0.00008488276429053      0.00000000018231024      0.00000000013059697
     60   0.0333        3.14140746840732943      3.14159265353535888      3.14159265358973716      0.00005894640491818      0.00000000014789989      0.00000000013059075
     70   0.0286        3.14145659916910436      3.14159265356820550      3.14159265358975182      0.00004330759773152      0.00000000013744449      0.00000000013058608
     80   0.0250        3.14148848692361060      3.14159265358010531      3.14159265358976247      0.00003315741022531      0.00000000013365666      0.00000000013058269
     90   0.0222        3.14151034906328297      3.14159265358501516      3.14159265358976514      0.00002619847503537      0.00000000013209381      0.00000000013058184
    100   0.0200        3.14152598692325213      3.14159265358725381      3.14159265358977358      0.00002122078960908      0.00000000013138122      0.00000000013057916
    110   0.0182        3.14153755717113237      3.14159265358836137      3.14159265358977446      0.00001753786532368      0.00000000013102868      0.00000000013057887
    120   0.0167        3.14154635729353782      3.14159265358894135      3.14159265358977802      0.00001473669936277      0.00000000013084406      0.00000000013057774
    130   0.0154        3.14155320585806397      3.14159265358926865      3.14159265358978024      0.00001255673356821      0.00000000013073988      0.00000000013057704
    140   0.0143        3.14155863998436669      3.14159265358945472      3.14159265358970785      0.00001082699744351      0.00000000013068065      0.00000000013060008
    150   0.0133        3.14156302396017484      3.14159265358957063      3.14159265358971584      0.00000943153460317      0.00000000013064376      0.00000000013059753
    160   0.0125        3.14156661192313402      3.14159265358964168      3.14159265358972339      0.00000828945052215      0.00000000013062114      0.00000000013059513
    170   0.0118        3.14156958553904841      3.14159265358968787      3.14159265358973316      0.00000734291917901      0.00000000013060644      0.00000000013059202
    180   0.0111        3.14157207745810929      3.14159265358971851      3.14159265358973672      0.00000654971670646      0.00000000013059669      0.00000000013059089
    190   0.0105        3.14157418636911201      3.14159265358973983      3.14159265358974560      0.00000587842948530      0.00000000013058990      0.00000000013058806
    200   0.0100        3.14157598692313078      3.14159265358975359      3.14159265358974871      0.00000530529534060      0.00000000013058552      0.00000000013058707
    210   0.0095        3.14157753643181969      3.14159265358976292      3.14159265358975359      0.00000481207140625      0.00000000013058255      0.00000000013058552
    220   0.0091        3.14157887948510917      3.14159265358977091      3.14159265358975448      0.00000438456426660      0.00000000013058000      0.00000000013058524
    230   0.0087        3.14158005119534023      3.14159265358977624      3.14159265358975892      0.00000401159731635      0.00000000013057831      0.00000000013058382
    240   0.0083        3.14158107951572063      3.14159265358977935      3.14159265358975892      0.00000368427277315      0.00000000013057732      0.00000000013058382
    250   0.0080        3.14158198692312673      3.14159265358978335      3.14159265358976203      0.00000339543602503      0.00000000013057605      0.00000000013058283
    260   0.0077        3.14158279165685439      3.14159265358978557      3.14159265358976292      0.00000313928132381      0.00000000013057534      0.00000000013058255
    270   0.0074        3.14158350864237690      3.14159265358978645      3.14159265358976603      0.00000291105774377      0.00000000013057506      0.00000000013058156
    280   0.0071        3.14158415018843318      3.14159265358978868      3.14159265358976691      0.00000270684729164      0.00000000013057435      0.00000000013058128
    290   0.0069        3.14158472651884457      3.14159265358978734      3.14159265358976603      0.00000252339562401      0.00000000013057477      0.00000000013058156
    300   0.0067        3.14158524618238655      3.14159265358978868      3.14159265358976780      0.00000235798158113      0.00000000013057435      0.00000000013058099
    310   0.0065        3.14158571637161721      3.14159265358979001      3.14159265358976780      0.00000220831570065      0.00000000013057393      0.00000000013058099
    320   0.0063        3.14158614317312423      3.14159265358979267      3.14159265358977180      0.00000207246056155      0.00000000013057308      0.00000000013057972
    330   0.0061        3.14158653176548963      3.14159265358979178      3.14159265358977047      0.00000194876776996      0.00000000013057336      0.00000000013058015
    340   0.0059        3.14158688657710528      3.14159265358979001      3.14159265358977180      0.00000183582772498      0.00000000013057393      0.00000000013057972
    350   0.0057        3.14158721141292485      3.14159265358979090      3.14159265358977224      0.00000173242927224      0.00000000013057364      0.00000000013057958
    360   0.0056        3.14158750955687172      3.14159265358979001      3.14159265358977136      0.00000163752710646      0.00000000013057393      0.00000000013057986
    370   0.0054        3.14158778385519399      3.14159265358979178      3.14159265358977224      0.00000155021523873      0.00000000013057336      0.00000000013057958
    380   0.0053        3.14158803678461984      3.14159265358979178      3.14159265358977047      0.00000146970530198      0.00000000013057336      0.00000000013058015
    390   0.0051        3.14158827050848988      3.14159265358979356      3.14159265358976869      0.00000139530868352      0.00000000013057280      0.00000000013058071
    400   0.0050        3.14158848692312986      3.14159265358979001      3.14159265358977313      0.00000132642176411      0.00000000013057393      0.00000000013057930
    410   0.0049        3.14158868769647270      3.14159265358979312      3.14159265358976914      0.00000126251362421      0.00000000013057294      0.00000000013058057
