 #*******************************************************************************************
 #N     h       T-Rule.      S-Rule        G-Quad    Error_trap     Error_simp   Error_gau
 #*******************************************************************************************
     10   0.2000    3.13492608  3.14159107  3.14158964  0.00212206  0.00000053  0.00000099
     20   0.1000    3.13992596  3.14159226  3.14158654  0.00053055  0.00000015  0.00000197
     30   0.0667    3.14085197  3.14159274  3.14156413  0.00023579  0.00000000  0.00000911
     40   0.0500    3.14117599  3.14159226  3.14157629  0.00013266  0.00000015  0.00000524
     50   0.0400    3.14132619  3.14159226  3.14158130  0.00008485  0.00000015  0.00000364
     60   0.0333    3.14140725  3.14159369  3.14158630  0.00005904  0.00000030  0.00000205
     70   0.0286    3.14145684  3.14159298  3.14158726  0.00004326  0.00000008  0.00000175
     80   0.0250    3.14148831  3.14159274  3.14158845  0.00003324  0.00000000  0.00000137
     90   0.0222    3.14151001  3.14159298  3.14158821  0.00002633  0.00000008  0.00000144
    100   0.0200    3.14152575  3.14159417  3.14158988  0.00002133  0.00000046  0.00000091
    110   0.0182    3.14153695  3.14159322  3.14158845  0.00001776  0.00000015  0.00000137
    120   0.0167    3.14154649  3.14159298  3.14158916  0.00001472  0.00000008  0.00000114
    130   0.0154    3.14155483  3.14159155  3.14158773  0.00001207  0.00000038  0.00000159
    140   0.0143    3.14155889  3.14159298  3.14158893  0.00001078  0.00000008  0.00000121
    150   0.0133    3.14156437  3.14159298  3.14158654  0.00000903  0.00000008  0.00000197
    160   0.0125    3.14156604  3.14159322  3.14158416  0.00000850  0.00000015  0.00000273
    170   0.0118    3.14157104  3.14159131  3.14158297  0.00000691  0.00000046  0.00000311
    180   0.0111    3.14157271  3.14159298  3.14157891  0.00000637  0.00000008  0.00000440
    190   0.0105    3.14157438  3.14159322  3.14157510  0.00000584  0.00000015  0.00000562
    200   0.0100    3.14157605  3.14159226  3.14153457  0.00000531  0.00000015  0.00001852
    210   0.0095    3.14157844  3.14159298  3.14148426  0.00000455  0.00000008  0.00003453
    220   0.0091    3.14158010  3.14159107  3.14149308  0.00000402  0.00000053  0.00003172
    230   0.0087    3.14157963  3.14159250  3.14149952  0.00000417  0.00000008  0.00002967
    240   0.0083    3.14158130  3.14159346  3.14150643  0.00000364  0.00000023  0.00002747
    250   0.0080    3.14158154  3.14159369  3.14151359  0.00000357  0.00000030  0.00002520
    260   0.0077    3.14158154  3.14159298  3.14151764  0.00000357  0.00000008  0.00002391
    270   0.0074    3.14158249  3.14159274  3.14152384  0.00000326  0.00000000  0.00002193
    280   0.0071    3.14158320  3.14159083  3.14152622  0.00000304  0.00000061  0.00002117
    290   0.0069    3.14158535  3.14159298  3.14153147  0.00000235  0.00000008  0.00001950
    300   0.0067    3.14158416  3.14159226  3.14153576  0.00000273  0.00000015  0.00001814
    310   0.0065    3.14158654  3.14159346  3.14153886  0.00000197  0.00000023  0.00001715
    320   0.0063    3.14158535  3.14159155  3.14154053  0.00000235  0.00000038  0.00001662
    330   0.0061    3.14158535  3.14159179  3.14154243  0.00000235  0.00000030  0.00001601
    340   0.0059    3.14158583  3.14159203  3.14154649  0.00000220  0.00000023  0.00001472
    350   0.0057    3.14158773  3.14159346  3.14155006  0.00000159  0.00000023  0.00001358
    360   0.0056    3.14158654  3.14159250  3.14155126  0.00000197  0.00000008  0.00001321
    370   0.0054    3.14158678  3.14159274  3.14155531  0.00000190  0.00000000  0.00001191
    380   0.0053    3.14158630  3.14159369  3.14155483  0.00000205  0.00000030  0.00001207
    390   0.0051    3.14158869  3.14159298  3.14155674  0.00000129  0.00000008  0.00001146
    400   0.0050    3.14158869  3.14159203  3.14155865  0.00000129  0.00000023  0.00001085
    410   0.0049    3.14158893  3.14159369  3.14155960  0.00000121  0.00000030  0.00001055
    420   0.0048    3.14158750  3.14159179  3.14156127  0.00000167  0.00000030  0.00001002
    430   0.0047    3.14158869  3.14159369  3.14156246  0.00000129  0.00000030  0.00000964
    440   0.0045    3.14158893  3.14159250  3.14156342  0.00000121  0.00000008  0.00000933
    450   0.0044    3.14158797  3.14159298  3.14156199  0.00000152  0.00000008  0.00000979
    460   0.0043    3.14158869  3.14159250  3.14156556  0.00000129  0.00000008  0.00000865
    470   0.0043    3.14158940  3.14159131  3.14156795  0.00000106  0.00000046  0.00000789
    480   0.0042    3.14158988  3.14159417  3.14156795  0.00000091  0.00000046  0.00000789
    490   0.0041    3.14159036  3.14159203  3.14157104  0.00000076  0.00000023  0.00000691
    500   0.0040    3.14158964  3.14159155  3.14157104  0.00000099  0.00000038  0.00000691
    510   0.0039    3.14158940  3.14159322  3.14157176  0.00000106  0.00000015  0.00000668
    520   0.0038    3.14159155  3.14159155  3.14157104  0.00000038  0.00000038  0.00000691
    530   0.0038    3.14158916  3.14159226  3.14157081  0.00000114  0.00000015  0.00000698
    540   0.0037    3.14158893  3.14159465  3.14157271  0.00000121  0.00000061  0.00000637
    550   0.0036    3.14159203  3.14159203  3.14157462  0.00000023  0.00000023  0.00000577
    560   0.0036    3.14159298  3.14159036  3.14157391  0.00000008  0.00000076  0.00000600
    570   0.0035    3.14159179  3.14159226  3.14157486  0.00000030  0.00000015  0.00000569
    580   0.0034    3.14159250  3.14159083  3.14157534  0.00000008  0.00000061  0.00000554
    590   0.0034    3.14159012  3.14159226  3.14157772  0.00000083  0.00000015  0.00000478
    600   0.0033    3.14159060  3.14159346  3.14157724  0.00000068  0.00000023  0.00000493
    610   0.0033    3.14158845  3.14159322  3.14157820  0.00000137  0.00000015  0.00000463
    620   0.0032    3.14159203  3.14159250  3.14157844  0.00000023  0.00000008  0.00000455
    630   0.0032    3.14159036  3.14159131  3.14157915  0.00000076  0.00000046  0.00000433
    640   0.0031    3.14159036  3.14159274  3.14157844  0.00000076  0.00000000  0.00000455
    650   0.0031    3.14159250  3.14159346  3.14157915  0.00000008  0.00000023  0.00000433
    660   0.0030    3.14158869  3.14159155  3.14157772  0.00000129  0.00000038  0.00000478
    670   0.0030    3.14159322  3.14159417  3.14157724  0.00000015  0.00000046  0.00000493
    680   0.0029    3.14158893  3.14159107  3.14158154  0.00000121  0.00000053  0.00000357
    690   0.0029    3.14159036  3.14158964  3.14157939  0.00000076  0.00000099  0.00000425
    700   0.0029    3.14159083  3.14159083  3.14158177  0.00000061  0.00000061  0.00000349
    710   0.0028    3.14158940  3.14159346  3.14158130  0.00000106  0.00000023  0.00000364
    720   0.0028    3.14159417  3.14159203  3.14158249  0.00000046  0.00000023  0.00000326
    730   0.0027    3.14159250  3.14159274  3.14158082  0.00000008  0.00000000  0.00000379
    740   0.0027    3.14159346  3.14159369  3.14158344  0.00000023  0.00000030  0.00000296
    750   0.0027    3.14159226  3.14159322  3.14158154  0.00000015  0.00000015  0.00000357
    760   0.0026    3.14159203  3.14159298  3.14158177  0.00000023  0.00000008  0.00000349
    770   0.0026    3.14159060  3.14159274  3.14158154  0.00000068  0.00000000  0.00000357
    780   0.0026    3.14158869  3.14159107  3.14158201  0.00000129  0.00000053  0.00000342
    790   0.0025    3.14159250  3.14159274  3.14158607  0.00000008  0.00000000  0.00000212
    800   0.0025    3.14159155  3.14159131  3.14158487  0.00000038  0.00000046  0.00000250
    810   0.0025    3.14159155  3.14159346  3.14158463  0.00000038  0.00000023  0.00000258
    820   0.0024    3.14159155  3.14159369  3.14158177  0.00000038  0.00000030  0.00000349
    830   0.0024    3.14159107  3.14159226  3.14158201  0.00000053  0.00000015  0.00000342
    840   0.0024    3.14159131  3.14159250  3.14158535  0.00000046  0.00000008  0.00000235
    850   0.0024    3.14159012  3.14159417  3.14158130  0.00000083  0.00000046  0.00000364
    860   0.0023    3.14159250  3.14159226  3.14158416  0.00000008  0.00000015  0.00000273
    870   0.0023    3.14159083  3.14159274  3.14158559  0.00000061  0.00000000  0.00000228
    880   0.0023    3.14159107  3.14159346  3.14158368  0.00000053  0.00000023  0.00000288
    890   0.0022    3.14159036  3.14159369  3.14158535  0.00000076  0.00000030  0.00000235
    900   0.0022    3.14159179  3.14159036  3.14158487  0.00000030  0.00000076  0.00000250
    910   0.0022    3.14159155  3.14159155  3.14158678  0.00000038  0.00000038  0.00000190
    920   0.0022    3.14158869  3.14159393  3.14158440  0.00000129  0.00000038  0.00000266
    930   0.0022    3.14159060  3.14159322  3.14158559  0.00000068  0.00000015  0.00000228
    940   0.0021    3.14159226  3.14159322  3.14158463  0.00000015  0.00000015  0.00000258
    950   0.0021    3.14158893  3.14159203  3.14158535  0.00000121  0.00000023  0.00000235
    960   0.0021    3.14159226  3.14158940  3.14158463  0.00000015  0.00000106  0.00000258
    970   0.0021    3.14159274  3.14159369  3.14158607  0.00000000  0.00000030  0.00000212
    980   0.0020    3.14159298  3.14158988  3.14158535  0.00000008  0.00000091  0.00000235
