 #*******************************************************************************************
 #N     h                       T-Rule.              S-Rule            G-Quad           Error_trap                  Error_simp         Error_gau
 #*******************************************************************************************
     10   0.2000        0.01299073448791905      0.01270914279233852      0.00648605447562524      3.88831897509806046      3.82571076473615657      2.44208891598006916
     20   0.1000        0.01297241975727108      0.01296631484705509      0.00648605447461307      3.88424693559147682      3.88288958908928317      2.44208891575502607
     30   0.0667        0.01297213655966874      0.01297157330836282      0.00648605447461307      3.88418397032886720      3.88405873880819064      2.44208891575502651
     40   0.0500        0.01297211388351599      0.01297201192559763      0.00648605447461307      3.88417892858451141      3.88415625958219080      2.44208891575502740
     50   0.0400        0.01297211024517604      0.01297208330936537      0.00648605447461307      3.88417811964747095      3.88417213082419455      2.44208891575502651
     60   0.0333        0.01297210938368396      0.01297210032502237      0.00648605447461307      3.88417792810603713      3.88417591403175999      2.44208891575502651
     70   0.0286        0.01297210912162570      0.01297210552016529      0.00648605447461307      3.88417786984082891      3.88417706910346938      2.44208891575502651
     80   0.0250        0.01297210902662939      0.01297210740766719      0.00648605447461307      3.88417784871964811      3.88417748876469293      2.44208891575502740
     90   0.0222        0.01297210898741738      0.01297210818793731      0.00648605447461307      3.88417784000137356      3.88417766224749439      2.44208891575502651
    100   0.0200        0.01297210896952653      0.01297210854431003      0.00648605447461307      3.88417783602357813      3.88417774148228112      2.44208891575502696
    110   0.0182        0.01297210896068686      0.01297210872052119      0.00648605447461307      3.88417783405819339      3.88417778066051600      2.44208891575502651
    120   0.0167        0.01297210895602645      0.01297210881347394      0.00648605447461306      3.88417783302201203      3.88417780132733581      2.44208891575502562
    130   0.0154        0.01297210895343334      0.01297210886521596      0.00648605447461306      3.88417783244546921      3.88417781283149433      2.44208891575502607
    140   0.0143        0.01297210895192335      0.01297210889535590      0.00648605447461307      3.88417783210974354      3.88417781953271524      2.44208891575502607
    150   0.0133        0.01297210895100918      0.01297210891360806      0.00648605447461307      3.88417783190648791      3.88417782359084152      2.44208891575502651
    160   0.0125        0.01297210895043676      0.01297210892503922      0.00648605447461306      3.88417783177921860      3.88417782613240981      2.44208891575502607
    170   0.0118        0.01297210895006763      0.01297210893241198      0.00648605447461307      3.88417783169714825      3.88417782777164522      2.44208891575502607
    180   0.0111        0.01297210894982334      0.01297210893729199      0.00648605447461307      3.88417783164283348      3.88417782885665330      2.44208891575502740
    190   0.0105        0.01297210894965790      0.01297210894059728      0.00648605447461306      3.88417783160605001      3.88417782959154012      2.44208891575502474
    200   0.0100        0.01297210894954354      0.01297210894288253      0.00648605447461306      3.88417783158062369      3.88417783009963502      2.44208891575502474
    210   0.0095        0.01297210894946299      0.01297210894449206      0.00648605447461306      3.88417783156271534      3.88417783045749365      2.44208891575502385
    220   0.0091        0.01297210894940531      0.01297210894564479      0.00648605447461305      3.88417783154989005      3.88417783071378864      2.44208891575502296
    230   0.0087        0.01297210894936338      0.01297210894648303      0.00648605447461306      3.88417783154056728      3.88417783090015956      2.44208891575502340
    240   0.0083        0.01297210894933244      0.01297210894710110      0.00648605447461306      3.88417783153368790      3.88417783103757897      2.44208891575502518
    250   0.0080        0.01297210894930935      0.01297210894756268      0.00648605447461306      3.88417783152855334      3.88417783114020532      2.44208891575502385
    260   0.0077        0.01297210894929191      0.01297210894791142      0.00648605447461306      3.88417783152467599      3.88417783121774285      2.44208891575502340
    270   0.0074        0.01297210894927857      0.01297210894817778      0.00648605447461305      3.88417783152171125      3.88417783127696392      2.44208891575502296
    280   0.0071        0.01297210894926830      0.01297210894838327      0.00648605447461306      3.88417783151942730      3.88417783132265226      2.44208891575502385
    290   0.0069        0.01297210894926029      0.01297210894854329      0.00648605447461305      3.88417783151764606      3.88417783135823091      2.44208891575502296
    300   0.0067        0.01297210894925400      0.01297210894866895      0.00648605447461305      3.88417783151624851      3.88417783138616945      2.44208891575502207
    310   0.0065        0.01297210894924903      0.01297210894876845      0.00648605447461305      3.88417783151514362      3.88417783140829131      2.44208891575502296
    320   0.0063        0.01297210894924506      0.01297210894884783      0.00648605447461304      3.88417783151425988      3.88417783142594164      2.44208891575502118
    330   0.0061        0.01297210894924189      0.01297210894891159      0.00648605447461305      3.88417783151355556      3.88417783144011786      2.44208891575502207
    340   0.0059        0.01297210894923930      0.01297210894896318      0.00648605447461305      3.88417783151298091      3.88417783145158779      2.44208891575502207
    350   0.0057        0.01297210894923719      0.01297210894900513      0.00648605447461305      3.88417783151251017      3.88417783146091633      2.44208891575502118
    360   0.0056        0.01297210894923548      0.01297210894903952      0.00648605447461304      3.88417783151212914      3.88417783146856133      2.44208891575501985
    370   0.0054        0.01297210894923404      0.01297210894906780      0.00648605447461304      3.88417783151181117      3.88417783147484963      2.44208891575501985
    380   0.0053        0.01297210894923288      0.01297210894909121      0.00648605447461304      3.88417783151155227      3.88417783148005435      2.44208891575502074
    390   0.0051        0.01297210894923191      0.01297210894911069      0.00648605447461303      3.88417783151133689      3.88417783148438556      2.44208891575501763
    400   0.0050        0.01297210894923109      0.01297210894912695      0.00648605447461304      3.88417783151115570      3.88417783148800089      2.44208891575501985
    410   0.0049        0.01297210894923041      0.01297210894914061      0.00648605447461303      3.88417783151100382      3.88417783149103713      2.44208891575501763
    420   0.0048        0.01297210894922983      0.01297210894915214      0.00648605447461303      3.88417783151087503      3.88417783149360041      2.44208891575501852
    430   0.0047        0.01297210894922935      0.01297210894916186      0.00648605447461303      3.88417783151076712      3.88417783149576357      2.44208891575501807
    440   0.0045        0.01297210894922894      0.01297210894917014      0.00648605447461303      3.88417783151067608      3.88417783149760254      2.44208891575501763
    450   0.0044        0.01297210894922859      0.01297210894917721      0.00648605447461303      3.88417783151059881      3.88417783149917462      2.44208891575501719
    460   0.0043        0.01297210894922829      0.01297210894918327      0.00648605447461302      3.88417783151053264      3.88417783150052198      2.44208891575501674
