 #*******************************************************************************************
 #N     h                       T-Rule.              S-Rule            G-Quad           Error_trap                  Error_simp         Error_gau
 #*******************************************************************************************
     10   0.2000       -0.00897444430919413     -0.00793347321656529     -0.00449768034524527      0.99534967120696138      0.76390343834272090      0.00000007676074551
     20   0.1000       -0.00899497694129199     -0.00900182115199128     -0.00449768041684616      0.99991483193379471      1.00143655217607264      0.00000009268026241
     30   0.0667       -0.00899532657427517     -0.00899601362875975     -0.00449768041684616      0.99999256822965910      1.00014532575900184      0.00000009268026183
     40   0.0500       -0.00899535470589674     -0.00899548062743166     -0.00449768041684616      0.99999882292576137      1.00002681992308351      0.00000009268026241
     50   0.0400       -0.00899535922383861     -0.00899539260330831     -0.00449768041684616      0.99999982743072158      1.00000724891684456      0.00000009268026241
     60   0.0333       -0.00899536029393795     -0.00899537153382554     -0.00449768041684616      1.00000006535323727      1.00000256439442969      0.00000009268026202
     70   0.0286       -0.00899536061949683     -0.00899536509071167     -0.00449768041684616      1.00000013773697272      1.00000113185279260      0.00000009268026164
     80   0.0250       -0.00899536073752046     -0.00899536274806169     -0.00449768041684616      1.00000016397797409      1.00000061099537674      0.00000009268026241
     90   0.0222       -0.00899536078623951     -0.00899536177925993     -0.00449768041684616      1.00000017481001602      1.00000039559504605      0.00000009268026183
    100   0.0200       -0.00899536080846862     -0.00899536133667863     -0.00449768041684616      1.00000017975236655      1.00000029719291517      0.00000009268026260
    110   0.0182       -0.00899536081945198     -0.00899536111780994     -0.00449768041684616      1.00000018219437181      1.00000024853034009      0.00000009268026183
    120   0.0167       -0.00899536082524263     -0.00899536100234421     -0.00449768041684616      1.00000018348184683      1.00000022285805290      0.00000009268026106
    130   0.0154       -0.00899536082846466     -0.00899536093806619     -0.00449768041684616      1.00000018419822223      1.00000020856668037      0.00000009268026183
    140   0.0143       -0.00899536083034088     -0.00899536090062224     -0.00449768041684616      1.00000018461537499      1.00000020024151004      0.00000009268026067
